NORM;SW;METHOD;MAX_FT;CF;MAX_ITER;k
lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;40;5
lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;60;5
lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;80;5
lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;100;5
lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;40;5
lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;60;5
lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;80;5
lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;100;5
lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;40;5
lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;60;5
lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;80;5
lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;100;5
lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;40;5
lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;60;5
lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;80;5
lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;100;5
lemmatization;Yes;LabelPowerset;1000;LogisticRegression;40;5
lemmatization;Yes;LabelPowerset;1000;LogisticRegression;60;5
lemmatization;Yes;LabelPowerset;1000;LogisticRegression;80;5
lemmatization;Yes;LabelPowerset;1000;LogisticRegression;100;5
lemmatization;Yes;LabelPowerset;2000;LogisticRegression;40;5
lemmatization;Yes;LabelPowerset;2000;LogisticRegression;60;5
lemmatization;Yes;LabelPowerset;2000;LogisticRegression;80;5
lemmatization;Yes;LabelPowerset;2000;LogisticRegression;100;5
lemmatization;Yes;LabelPowerset;4000;LogisticRegression;40;5
lemmatization;Yes;LabelPowerset;4000;LogisticRegression;60;5
lemmatization;Yes;LabelPowerset;4000;LogisticRegression;80;5
lemmatization;Yes;LabelPowerset;4000;LogisticRegression;100;5
lemmatization;Yes;LabelPowerset;6000;LogisticRegression;40;5
lemmatization;Yes;LabelPowerset;6000;LogisticRegression;60;5
lemmatization;Yes;LabelPowerset;6000;LogisticRegression;80;5
lemmatization;Yes;LabelPowerset;6000;LogisticRegression;100;5
lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;40;10
lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;60;10
lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;80;10
lemmatization;Yes;BinaryRelevance;1000;LogisticRegression;100;10
lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;40;10
lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;60;10
lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;80;10
lemmatization;Yes;BinaryRelevance;2000;LogisticRegression;100;10
lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;40;10
lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;60;10
lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;80;10
lemmatization;Yes;BinaryRelevance;4000;LogisticRegression;100;10
lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;40;10
lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;60;10
lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;80;10
lemmatization;Yes;BinaryRelevance;6000;LogisticRegression;100;10
lemmatization;Yes;LabelPowerset;1000;LogisticRegression;40;10
lemmatization;Yes;LabelPowerset;1000;LogisticRegression;60;10
lemmatization;Yes;LabelPowerset;1000;LogisticRegression;80;10
lemmatization;Yes;LabelPowerset;1000;LogisticRegression;100;10
lemmatization;Yes;LabelPowerset;2000;LogisticRegression;40;10
lemmatization;Yes;LabelPowerset;2000;LogisticRegression;60;10
lemmatization;Yes;LabelPowerset;2000;LogisticRegression;80;10
lemmatization;Yes;LabelPowerset;2000;LogisticRegression;100;10
lemmatization;Yes;LabelPowerset;4000;LogisticRegression;40;10
lemmatization;Yes;LabelPowerset;4000;LogisticRegression;60;10
lemmatization;Yes;LabelPowerset;4000;LogisticRegression;80;10
lemmatization;Yes;LabelPowerset;4000;LogisticRegression;100;10
lemmatization;Yes;LabelPowerset;6000;LogisticRegression;40;10
lemmatization;Yes;LabelPowerset;6000;LogisticRegression;60;10
lemmatization;Yes;LabelPowerset;6000;LogisticRegression;80;10
lemmatization;Yes;LabelPowerset;6000;LogisticRegression;100;10
